HomeTeam,AwayTeam,Date,Attendance
Crystal Palace,Ipswich,2025-03-08 15:00:00,-1
Liverpool,Southampton,2025-03-08 15:00:00,-1
Man United,Arsenal,2025-03-08 15:00:00,-1
Nott'm Forest,Man City,2025-03-08 15:00:00,-1
Tottenham,Bournemouth,2025-03-08 15:00:00,-1
West Ham,Newcastle,2025-03-08 15:00:00,-1
Wolves,Everton,2025-03-08 15:00:00,-1
Arsenal,Chelsea,2025-03-15 15:00:00,-1
Aston Villa,Liverpool,2025-03-15 15:00:00,-1
Bournemouth,Brentford,2025-03-15 15:00:00,-1
Everton,West Ham,2025-03-15 15:00:00,-1
Fulham,Tottenham,2025-03-15 15:00:00,-1
Ipswich,Nott'm Forest,2025-03-15 15:00:00,-1
Leicester,Man United,2025-03-15 15:00:00,-1
Man City,Brighton,2025-03-15 15:00:00,-1
Newcastle,Crystal Palace,2025-03-15 15:00:00,-1
Southampton,Wolves,2025-03-15 15:00:00,-1
Arsenal,Fulham,2025-04-01 19:45:00,-1
Bournemouth,Ipswich,2025-04-01 19:45:00,-1
Brighton,Aston Villa,2025-04-01 19:45:00,-1
Nott'm Forest,Man United,2025-04-01 19:45:00,-1
Wolves,West Ham,2025-04-01 19:45:00,-1
Chelsea,Tottenham,2025-04-02 19:45:00,-1
Man City,Leicester,2025-04-02 19:45:00,-1
Newcastle,Brentford,2025-04-02 19:45:00,-1
Southampton,Crystal Palace,2025-04-02 19:45:00,-1
Liverpool,Everton,2025-04-02 20:00:00,-1
Aston Villa,Nott'm Forest,2025-04-05 15:00:00,-1
Brentford,Chelsea,2025-04-05 15:00:00,-1
Crystal Palace,Brighton,2025-04-05 15:00:00,-1
Everton,Arsenal,2025-04-05 15:00:00,-1
Fulham,Liverpool,2025-04-05 15:00:00,-1
Ipswich,Wolves,2025-04-05 15:00:00,-1
Leicester,Newcastle,2025-04-05 15:00:00,-1
Man United,Man City,2025-04-05 15:00:00,-1
Tottenham,Southampton,2025-04-05 15:00:00,-1
West Ham,Bournemouth,2025-04-05 15:00:00,-1
Arsenal,Brentford,2025-04-12 15:00:00,-1
Bournemouth,Fulham,2025-04-12 15:00:00,-1
Brighton,Leicester,2025-04-12 15:00:00,-1
Chelsea,Ipswich,2025-04-12 15:00:00,-1
Liverpool,West Ham,2025-04-12 15:00:00,-1
Man City,Crystal Palace,2025-04-12 15:00:00,-1
Newcastle,Man United,2025-04-12 15:00:00,-1
Nott'm Forest,Everton,2025-04-12 15:00:00,-1
Southampton,Aston Villa,2025-04-12 15:00:00,-1
Wolves,Tottenham,2025-04-12 15:00:00,-1
Aston Villa,Newcastle,2025-04-19 15:00:00,-1
Brentford,Brighton,2025-04-19 15:00:00,-1
Crystal Palace,Bournemouth,2025-04-19 15:00:00,-1
Everton,Man City,2025-04-19 15:00:00,-1
Fulham,Chelsea,2025-04-19 15:00:00,-1
Ipswich,Arsenal,2025-04-19 15:00:00,-1
Leicester,Liverpool,2025-04-19 15:00:00,-1
Man United,Wolves,2025-04-19 15:00:00,-1
Tottenham,Nott'm Forest,2025-04-19 15:00:00,-1
West Ham,Southampton,2025-04-19 15:00:00,-1
Arsenal,Crystal Palace,2025-04-26 15:00:00,-1
Bournemouth,Man United,2025-04-26 15:00:00,-1
Brighton,West Ham,2025-04-26 15:00:00,-1
Chelsea,Everton,2025-04-26 15:00:00,-1
Liverpool,Tottenham,2025-04-26 15:00:00,-1
Man City,Aston Villa,2025-04-26 15:00:00,-1
Newcastle,Ipswich,2025-04-26 15:00:00,-1
Nott'm Forest,Brentford,2025-04-26 15:00:00,-1
Southampton,Fulham,2025-04-26 15:00:00,-1
Wolves,Leicester,2025-04-26 15:00:00,-1
Arsenal,Bournemouth,2025-05-03 15:00:00,-1
Aston Villa,Fulham,2025-05-03 15:00:00,-1
Brentford,Man United,2025-05-03 15:00:00,-1
Brighton,Newcastle,2025-05-03 15:00:00,-1
Chelsea,Liverpool,2025-05-03 15:00:00,-1
Crystal Palace,Nott'm Forest,2025-05-03 15:00:00,-1
Everton,Ipswich,2025-05-03 15:00:00,-1
Leicester,Southampton,2025-05-03 15:00:00,-1
Man City,Wolves,2025-05-03 15:00:00,-1
West Ham,Tottenham,2025-05-03 15:00:00,-1
Bournemouth,Aston Villa,2025-05-10 15:00:00,-1
Fulham,Everton,2025-05-10 15:00:00,-1
Ipswich,Brentford,2025-05-10 15:00:00,-1
Liverpool,Arsenal,2025-05-10 15:00:00,-1
Man United,West Ham,2025-05-10 15:00:00,-1
Newcastle,Chelsea,2025-05-10 15:00:00,-1
Nott'm Forest,Leicester,2025-05-10 15:00:00,-1
Southampton,Man City,2025-05-10 15:00:00,-1
Tottenham,Crystal Palace,2025-05-10 15:00:00,-1
Wolves,Brighton,2025-05-10 15:00:00,-1
Arsenal,Newcastle,2025-05-18 15:00:00,-1
Aston Villa,Tottenham,2025-05-18 15:00:00,-1
Brentford,Fulham,2025-05-18 15:00:00,-1
Brighton,Liverpool,2025-05-18 15:00:00,-1
Chelsea,Man United,2025-05-18 15:00:00,-1
Crystal Palace,Wolves,2025-05-18 15:00:00,-1
Everton,Southampton,2025-05-18 15:00:00,-1
Leicester,Ipswich,2025-05-18 15:00:00,-1
Man City,Bournemouth,2025-05-18 15:00:00,-1
West Ham,Nott'm Forest,2025-05-18 15:00:00,-1
Bournemouth,Leicester,2025-05-25 15:00:00,-1
Fulham,Man City,2025-05-25 15:00:00,-1
Ipswich,West Ham,2025-05-25 15:00:00,-1
Liverpool,Crystal Palace,2025-05-25 15:00:00,-1
Man United,Aston Villa,2025-05-25 15:00:00,-1
Newcastle,Everton,2025-05-25 15:00:00,-1
Nott'm Forest,Chelsea,2025-05-25 15:00:00,-1
Southampton,Arsenal,2025-05-25 15:00:00,-1
Tottenham,Brighton,2025-05-25 15:00:00,-1
Wolves,Brentford,2025-05-25 15:00:00,-1
