Date,HomeTeam,AwayTeam,KickoffTime,temperature_2m,wind_speed_10m,FTAG,FTHG,AR,HR,AY,HY,Attendance,HomeAwaySalaryRatio,HomeElo,AwayElo,HomeRank,AwayRank,HomeEloMomentum,AwayEloMomentum,HomeRankMomentum,AwayRankMomentum,HomePlayerRatingCount,HomePlayerRatingMean,HomePlayerRatingStd,AwayPlayerRatingCount,AwayPlayerRatingMean,AwayPlayerRatingStd,TeamEloWinProb,PlayerEloDrawProb,PlayerEloWinProb,HM,AM,HAG,AAG,RollingHomeAdvantage,FTR,HomeAwaySelectionsRatio
30-Dec-17,Liverpool,Leicester,1500,8.8,33.4,1.0,2.0,0.0,0.0,2.0,3.0,53226,1.4660007590132826,1879.15136719,1738.99682617,5.0,7.0,96.976635744,-14.438842774000069,4.0,-1.2,15.0,7.084,0.3226721762615012,13.0,6.697692307692308,0.3139121348440782,0.6914259883617475,0.33,0.33,Jurgen Klopp,Claude Puel,1.25,1.0,1.0,H,2.774392162243445
30-Dec-17,Bournemouth,Everton,1500,12.1,33.4,1.0,2.0,0.0,0.0,0.0,0.0,10497,0.4970367752905715,1640.65197754,1711.20239258,14.0,8.0,162.173779298,29.59052734199999,6.2,3.8,15.0,6.603999999999999,0.239159639850317,14.0,6.606428571428572,0.2242959506308301,0.3998426358849971,0.33,0.33,Eddie Howe,Sam Allardyce,1.0,0.0,0.5,H,0.260160364872206
30-Dec-17,Newcastle,Brighton,1500,6.6,31.1,0.0,0.0,0.0,0.0,2.0,2.0,52209,0.9591056794261308,1616.63769531,1614.13586426,17.0,18.0,148.456396482,93.70368652399992,8.4,3.4,15.0,6.577333333333333,0.2365154446448595,12.0,6.634166666666668,0.1819092417174625,0.5036003620718671,0.33,0.33,Jose Mourinho,Chris Hughton,0.0,0.0,0.0,D,0.4852269522308242
31-Dec-17,Crystal Palace,Man City,1200,10.8,21.6,0.0,0.0,0.0,0.0,4.0,5.0,25804,0.5034112528574589,1646.66369629,1986.16625977,11.0,1.0,2.055859373999965,229.263745114,-2.2,10.0,14.0,6.831428571428573,0.2552549745662487,14.0,7.407857142857142,0.3444079510329195,0.1240815639126868,0.33,0.33,Roy Hodgson,Per Guardiola,0.0,0.0,0.0,D,0.0856282957088704
01-Jan-18,Everton,Man United,1730,6.4,43.8,2.0,0.0,0.0,0.0,0.0,2.0,39188,0.5171733301935157,1710.34997559,1907.22143555,8.0,4.0,15.480444334000005,107.45283203200002,2.6,4.4,14.0,6.606428571428572,0.2242959506308301,14.0,7.082857142857144,0.3108382347190663,0.2435557029143001,0.33,0.33,Sam Allardyce,Jose Mourinho,0.0,1.25,0.0,A,0.5130145310132607
01-Jan-18,Brighton,Bournemouth,1230,6.9,10.3,2.0,2.0,0.0,0.0,1.0,2.0,30152,0.9338645418326692,1611.95422363,1647.40441895,18.0,12.0,113.61035156199996,148.06369629,4.8,5.0,12.0,6.634166666666668,0.1819092417174625,15.0,6.603999999999999,0.239159639850317,0.4491593779821177,0.33,0.33,Chris Hughton,Eddie Howe,1.0,1.0,0.0,D,1.519131137411474
13-Jan-18,Tottenham,Everton,1730,5.9,14.8,0.0,4.0,0.0,0.0,2.0,0.0,76251,0.9535654743412488,1920.13647461,1695.4395752,2.0,9.0,161.420385742,40.58488769400001,5.8,1.4,13.0,7.043076923076923,0.3142606614159804,14.0,6.606428571428572,0.2242959506308301,0.7847321406906711,0.33,0.33,Mauricio Pochettino,Sam Allardyce,2.875,0.0,1.0,H,2.5675530975993865
13-Jan-18,Chelsea,Leicester,1500,6.7,14.5,0.0,0.0,1.0,0.0,2.0,2.0,41552,1.8473411764705885,1918.27575684,1732.09008789,3.0,7.0,160.97658691399997,13.234423829999924,6.2,-0.4,15.0,7.018666666666667,0.3586802971387688,13.0,6.697692307692308,0.3139121348440782,0.7449335394183613,0.33,0.33,Antonio Conte,Claude Puel,0.0,0.0,0.5,D,2.3086932820661072
14-Jan-18,Liverpool,Man City,1600,3.4,21.9,3.0,4.0,0.0,0.0,3.0,2.0,53285,0.7121362731361994,1886.24658203,1981.20385742,5.0,1.0,161.89028320599996,226.2291259739999,5.2,9.4,15.0,7.084,0.3226721762615012,14.0,7.407857142857142,0.3444079510329195,0.3666494102666596,0.33,0.33,Jurgen Klopp,Per Guardiola,2.875,1.0,1.0,H,0.7401987833550872
14-Jan-18,Bournemouth,Arsenal,1330,6.1,7.0,1.0,2.0,0.0,0.0,2.0,2.0,10836,0.2605871089670264,1648.10095215,1844.88220215,13.0,6.0,96.200585938,85.99401855400001,2.8,3.4,15.0,6.603999999999999,0.239159639850317,14.0,6.9957142857142856,0.3042018663818552,0.243651387784585,0.33,0.33,Eddie Howe,Arsene Wenger,1.25,0.0,0.6666666666666666,H,0.5053001339119735
