Date,HomeTeam,AwayTeam,HomeElo,AwayElo,HI,AI
2020-09-12,Fulham,Arsenal,1594.47619629,1802.45385742,0.029999999999999995,0.10599999999999998
2020-09-12,Crystal Palace,Southampton,1673.68884277,1720.21118164,0.048,0.053000000000000005
2020-09-12,Liverpool,Leeds,1994.56091309,1624.62426758,0.11299999999999999,0.044000000000000004
2020-09-12,West Ham,Newcastle,1685.76428223,1677.56347656,0.054000000000000006,0.044000000000000004
2020-09-13,West Brom,Leicester,1593.79064941,1760.91503906,0.007,0.098
2020-09-13,Tottenham,Everton,1810.64257812,1715.9395752,0.10899999999999999,0.083
2020-09-14,Brighton,Chelsea,1653.63110352,1821.49279785,0.037,0.11299999999999999
2020-09-14,Sheffield United,Wolves,1693.6763916,1778.44799805,0.018,0.06499999999999999
2020-09-19,Man United,Crystal Palace,1860.72937012,1681.90820312,0.09800000000000003,0.05499999999999999
2020-09-19,Arsenal,West Ham,1806.66320801,1672.36401367,0.08999999999999997,0.051000000000000004
2020-09-19,Everton,West Brom,1727.68505859,1585.28955078,0.067,0.007
2020-09-19,Leeds,Fulham,1623.5291748,1584.40698242,0.017,0.009000000000000001
2020-09-20,Southampton,Tottenham,1712.36206055,1796.33752441,0.04399999999999999,0.08799999999999997
2020-09-20,Newcastle,Brighton,1691.3338623,1646.70996094,0.040999999999999995,0.029999999999999995
2020-09-20,Chelsea,Liverpool,1825.48400879,1992.72607422,0.12,0.1409999999999999
2020-09-20,Leicester,Burnley,1766.85632324,1722.70275879,0.1,0.05
2020-09-21,Aston Villa,Sheffield United,1618.62438965,1684.03930664,0.034999999999999996,0.012999999999999998
2020-09-21,Wolves,Man City,1788.45532227,1967.77905273,0.07199999999999998,0.131
2020-09-26,Brighton,Man United,1665.40490723,1842.19592285,0.03,0.11499999999999999
2020-09-26,Crystal Palace,Everton,1701.18225098,1734.38525391,0.066,0.10200000000000004
2020-09-26,West Brom,Chelsea,1578.9597168,1819.16442871,0.007,0.11699999999999999
2020-09-26,Burnley,Southampton,1714.7401123,1700.4934082,0.038000000000000006,0.03799999999999999
2020-09-27,West Ham,Wolves,1669.17089844,1782.36047363,0.034,0.07
2020-09-27,Man City,Leicester,1974.61437988,1775.18933105,0.10599999999999998,0.13699999999999996
2020-09-27,Tottenham,Newcastle,1809.69445801,1673.34509277,0.094,0.027000000000000003
2020-09-27,Sheffield United,Leeds,1675.16088867,1630.20825195,0.004,0.031000000000000007
2020-09-28,Fulham,Aston Villa,1578.80444336,1627.83874512,0.003,0.045000000000000005
2020-09-28,Liverpool,Arsenal,1999.78613281,1810.93273926,0.101,0.118
2020-10-03,Chelsea,Crystal Palace,1814.26000977,1693.22265625,0.10799999999999998,0.054
2020-10-03,Everton,Brighton,1743.01660156,1660.67224121,0.10399999999999998,0.020999999999999998
2020-10-03,Leeds,Man City,1641.18554688,1951.97924805,0.047,0.12
2020-10-03,Newcastle,Burnley,1678.23364258,1705.61340332,0.029,0.024
2020-10-04,Aston Villa,Liverpool,1641.77258301,2004.49035645,0.05800000000000001,0.118
2020-10-04,Man United,Tottenham,1847.26452637,1806.49121094,0.10599999999999998,0.11299999999999999
2020-10-04,Wolves,Fulham,1763.16113281,1566.01574707,0.031,0.002
2020-10-04,Southampton,West Brom,1710.29187012,1584.53588867,0.023000000000000007,0.004
2020-10-04,Leicester,West Ham,1798.49633789,1690.32470703,0.121,0.061
2020-10-04,Arsenal,Sheffield United,1806.90039062,1665.32885742,0.07300000000000001,0.002
2020-10-17,Everton,Liverpool,1743.82592773,2005.29968262,0.133,0.14100000000000001
2020-10-17,Chelsea,Southampton,1823.93395996,1711.10119629,0.10299999999999998,0.045
2020-10-17,Man City,Arsenal,1952.78857422,1807.7097168,0.10799999999999998,0.11199999999999999
2020-10-17,Newcastle,Man United,1690.57775879,1848.07385254,0.036000000000000004,0.13099999999999998
2020-10-18,Leicester,Aston Villa,1779.24963379,1641.77258301,0.11299999999999999,0.09
2020-10-18,Sheffield United,Fulham,1666.13818359,1566.82507324,0.003,0.001
2020-10-18,Crystal Palace,Brighton,1685.16723633,1653.99438477,0.022,0.016
2020-10-18,Tottenham,West Ham,1809.74047852,1710.3807373,0.10399999999999998,0.063
2020-10-19,Leeds,Wolves,1647.85021973,1766.18798828,0.044000000000000004,0.06399999999999999
2020-10-19,West Brom,Burnley,1585.34521484,1694.88781738,0.003,0.013999999999999999
2020-10-23,Aston Villa,Leeds,1693.79418945,1648.33789062,0.09299999999999997,0.03300000000000001
2020-10-24,West Ham,Man City,1720.70532227,1959.41137695,0.061,0.119
2020-10-24,Fulham,Crystal Palace,1573.55371094,1693.84655762,0.001,0.034
2020-10-24,Man United,Chelsea,1853.21826172,1825.7713623,0.121,0.134
2020-10-24,Liverpool,Sheffield United,1976.64904785,1664.85913086,0.10100000000000009,0.002
2020-10-25,Southampton,Everton,1727.12963867,1766.61462402,0.040999999999999995,0.134
2020-10-25,Wolves,Newcastle,1778.13928223,1691.50292969,0.07800000000000001,0.032
2020-10-25,Arsenal,Leicester,1813.9354248,1774.18395996,0.10299999999999998,0.124
2020-10-26,Brighton,West Brom,1666.15979004,1588.07580566,0.008999999999999998,0.004
2020-10-26,Burnley,Tottenham,1698.63793945,1834.03723145,0.008,0.11399999999999999
2020-10-30,Wolves,Crystal Palace,1788.70458984,1709.19799805,0.066,0.045
2020-10-31,Liverpool,West Ham,1993.37561035,1739.93823242,0.123,0.06499999999999999
2020-10-31,Sheffield United,Man City,1674.0703125,1973.47631836,0.002,0.10400000000000009
2020-10-31,Burnley,Chelsea,1704.46203613,1848.4440918,0.004,0.119
2020-11-01,Aston Villa,Southampton,1690.37463379,1749.70825195,0.096,0.06499999999999999
2020-11-01,Newcastle,Everton,1701.44250488,1764.54077148,0.023,0.11200000000000002
2020-11-01,Man United,Arsenal,1880.49682617,1820.20324707,0.11299999999999999,0.09099999999999997
2020-11-01,Tottenham,Brighton,1841.12817383,1670.10522461,0.10300000000000004,0.017
