Date,HomeTeam,AwayTeam,HomeElo,AwayElo,HI,AI
2019-08-09,Liverpool,Norwich,2050.23095703,1634.68200684,0.09999999999999998,0.020000000000000004
2019-08-10,West Ham,Man City,1733.62585449,2041.28271484,0.044000000000000004,0.11599999999999999
2019-08-10,Bournemouth,Sheffield United,1694.90454102,1623.57434082,0.027,0.02600000000000001
2019-08-10,Burnley,Southampton,1685.67358398,1677.79638672,0.021000000000000005,0.028999999999999998
2019-08-10,Crystal Palace,Everton,1746.54309082,1773.67272949,0.03999999999999998,0.07400000000000001
2019-08-10,Watford,Brighton,1689.31970215,1620.26965332,0.027999999999999997,0.022999999999999996
2019-08-10,Tottenham,Aston Villa,1894.82531738,1616.2142334,0.07999999999999996,0.013
2019-08-11,Leicester,Wolves,1742.68151855,1723.59387207,0.06800000000000003,0.06799999999999998
2019-08-11,Newcastle,Arsenal,1719.5970459,1870.89367676,0.034,0.11400000000000002
2019-08-11,Man United,Chelsea,1842.23632812,1887.0135498,0.08200000000000002,0.119
2019-08-17,Man City,Tottenham,2047.47790527,1897.30895996,0.09900000000000009,0.12
2019-08-17,Southampton,Liverpool,1667.12463379,2051.6015625,0.020999999999999998,0.09799999999999998
2019-08-17,Norwich,Newcastle,1633.75634766,1714.03479004,0.005000000000000001,0.032
2019-08-17,Aston Villa,Bournemouth,1614.07275391,1691.36767578,0.006,0.020000000000000004
2019-08-17,Brighton,West Ham,1640.37597656,1727.70458984,0.024,0.029999999999999995
2019-08-17,Arsenal,Burnley,1876.7980957,1696.6875,0.09200000000000003,0.059
2019-08-17,Everton,Watford,1774.89929199,1669.55554199,0.05,0.025999999999999995
2019-08-18,Sheffield United,Crystal Palace,1627.55615234,1745.76147461,0.016,0.03900000000000001
2019-08-18,Chelsea,Leicester,1872.0378418,1740.52282715,0.09000000000000002,0.099
2019-08-19,Wolves,Man United,1727.05090332,1857.55419922,0.069,0.133
2019-08-23,Aston Villa,Everton,1606.74865723,1779.07458496,0.009000000000000001,0.071
2019-08-24,Watford,West Ham,1665.5859375,1727.0324707,0.010000000000000002,0.023999999999999997
2019-08-24,Liverpool,Arsenal,2053.4855957,1879.6550293,0.09699999999999998,0.131
2019-08-24,Sheffield United,Leicester,1637.00256348,1745.76599121,0.038,0.098
2019-08-24,Norwich,Chelsea,1645.73254395,1867.00036621,0.006999999999999999,0.11400000000000002
