Date,HomeTeam,AwayTeam,HomeElo,AwayElo,HI,AI
2017-09-30,Stoke,Southampton,1676.45239258,1695.77050781,0.008,0.024
2017-09-30,West Brom,Watford,1660.14929199,1656.62646484,0.0079999999999999,0.0319999999999999
2017-10-01,Newcastle,Liverpool,1648.84484863,1858.45568848,0.022,0.153
2017-10-01,Everton,Burnley,1751.88037109,1665.16687012,0.02,0.025
2017-10-01,Arsenal,Brighton,1861.97998047,1610.08898926,0.0959999999999999,0.006
2017-10-14,Burnley,West Ham,1665.16687012,1673.8684082,0.0389999999999999,0.0119999999999999
2017-10-14,Crystal Palace,Chelsea,1601.38085938,1946.88122559,0.001,0.1119999999999999
2017-10-14,Liverpool,Man United,1856.85229492,1916.453125,0.131,0.121
2017-10-14,Man City,Stoke,1934.30456543,1676.45239258,0.1009999999999999,0.015
2017-10-14,Swansea,Huddersfield,1652.40942383,1533.14758301,0.002,0.003
2017-10-14,Tottenham,Bournemouth,1914.37438965,1642.11474609,0.118,0.002
2017-10-14,Watford,Arsenal,1655.02307129,1863.25927734,0.038,0.14
2017-10-15,Brighton,Everton,1605.86755371,1730.7088623,0.0049999999999999,0.019
2017-10-15,Southampton,Newcastle,1687.33422852,1652.75769043,0.017,0.0209999999999999
2017-10-16,Leicester,West Brom,1715.66821289,1656.52453613,0.011,0.009
2017-10-20,West Ham,Brighton,1681.55444336,1613.19750977,0.009,0.007
2017-10-21,Chelsea,Watford,1923.5534668,1671.93115234,0.124,0.0819999999999999
2017-10-21,Huddersfield,Man United,1529.79931641,1930.8404541,0.001,0.109
2017-10-21,Man City,Burnley,1949.13964844,1678.31567383,0.1009999999999999,0.0559999999999999
2017-10-21,Newcastle,Crystal Palace,1661.39892578,1618.96032715,0.0209999999999999,0.002
2017-10-21,Southampton,West Brom,1690.17504883,1663.36975098,0.012,0.005
2017-10-21,Stoke,Bournemouth,1684.8494873,1646.42980957,0.008,0.002
2017-10-21,Swansea,Leicester,1661.0456543,1717.8651123,0.004,0.009
2017-10-22,Everton,Arsenal,1721.37316895,1860.03271484,0.017,0.137
2017-10-22,Tottenham,Liverpool,1931.62390137,1863.8515625,0.141,0.186
2017-10-28,Watford,Stoke,1671.93115234,1671.49621582,0.033,0.0039999999999999
2017-10-28,West Brom,Man City,1657.45690918,1946.69970703,0.0049999999999999,0.1069999999999999
2017-10-28,Man United,Tottenham,1928.4005127,1929.18395996,0.1069999999999999,0.1379999999999999
2017-10-28,Crystal Palace,West Ham,1613.51123047,1658.96679688,0.0,0.004
2017-10-28,Liverpool,Huddersfield,1861.41162109,1527.359375,0.0959999999999999,0.005
2017-10-28,Bournemouth,Chelsea,1654.90319824,1923.7166748,0.002,0.1309999999999999
2017-10-28,Arsenal,Swansea,1861.13305664,1652.68115234,0.092,0.0069999999999999
2017-10-29,Brighton,Southampton,1630.90527344,1693.64794922,0.004,0.012
2017-10-29,Leicester,Everton,1723.78967285,1710.68859863,0.011,0.009
2017-10-30,Burnley,Newcastle,1675.35559082,1664.40820312,0.0219999999999999,0.024
2017-11-04,West Ham,Liverpool,1665.04223633,1862.10461426,0.005,0.1439999999999999
2017-11-04,Swansea,Brighton,1655.91723633,1636.33105469,0.002,0.0049999999999999
2017-11-04,Stoke,Leicester,1686.3795166,1737.77087402,0.0039999999999999,0.032
2017-11-04,Newcastle,Bournemouth,1663.55297852,1656.98095703,0.0079999999999999,0.003
2017-11-04,Huddersfield,West Brom,1546.21350098,1659.82165527,0.001,0.003
2017-11-04,Southampton,Burnley,1699.05969238,1687.04833984,0.012,0.045
2017-11-05,Chelsea,Man United,1920.73693848,1922.8692627,0.14,0.124
2017-11-05,Everton,Watford,1707.5447998,1659.94909668,0.0069999999999999,0.016
2017-11-05,Man City,Arsenal,1970.99938965,1879.41894531,0.1009999999999999,0.154
2017-11-05,Tottenham,Crystal Palace,1941.8972168,1612.94018555,0.0979999999999999,0.0
2017-11-18,Liverpool,Southampton,1864.64465332,1683.80236816,0.122,0.008
2017-11-18,West Brom,Chelsea,1644.92285156,1915.40393066,0.001,0.129
2017-11-18,Man United,Newcastle,1922.8692627,1658.2199707,0.1059999999999999,0.011
2017-11-18,Leicester,Man City,1732.66845703,1965.66638184,0.011,0.118
2017-11-18,Crystal Palace,Everton,1612.94018555,1693.88891602,0.0,0.0059999999999999
2017-11-18,Burnley,Swansea,1691.63964844,1640.5637207,0.065,0.0
2017-11-18,Bournemouth,Huddersfield,1661.12268066,1540.88049316,0.002,0.003
2017-11-18,Arsenal,Tottenham,1865.81201172,1941.8972168,0.1339999999999999,0.145
2017-11-19,Watford,West Ham,1659.94909668,1651.83630371,0.007,0.0
2017-11-20,Brighton,Stoke,1641.01855469,1680.81604004,0.002,0.008
2017-11-24,West Ham,Leicester,1642.38781738,1726.91052246,0.0,0.007
2017-11-25,Tottenham,West Brom,1936.8458252,1638.00048828,0.1029999999999999,0.001
2017-11-25,Swansea,Bournemouth,1632.33862305,1668.74108887,0.0,0.004
2017-11-25,Newcastle,Watford,1645.07580566,1652.18981934,0.001,0.016
2017-11-25,Liverpool,Chelsea,1869.4387207,1931.94421387,0.1639999999999999,0.163
2017-11-25,Crystal Palace,Stoke,1611.97473145,1680.99414062,0.0,0.006
2017-11-25,Man United,Brighton,1906.21508789,1639.86950684,0.1099999999999999,0.008
2017-11-26,Burnley,Arsenal,1698.89367676,1871.67614746,0.092,0.158
2017-11-26,Huddersfield,Man City,1541.85693359,1976.76293945,0.0,0.1029999999999999
2017-11-26,Southampton,Everton,1667.859375,1667.70800781,0.0,0.003
2017-11-28,Watford,Man United,1668.04968262,1895.66467285,0.032,0.132
2017-11-28,Brighton,Crystal Palace,1629.3190918,1609.66638184,0.001,0.0
2017-11-28,Leicester,Tottenham,1715.7479248,1926.29541016,0.006,0.1339999999999999
2017-11-28,West Brom,Newcastle,1635.23791504,1634.52539062,0.001,0.0
2017-11-29,Stoke,Liverpool,1670.44372559,1858.88842773,0.002,0.158
2017-11-29,Man City,Southampton,1966.21264648,1679.23095703,0.1090000000000001,0.003
2017-11-29,Everton,West Ham,1656.33642578,1631.83740234,0.002,0.0
2017-11-29,Chelsea,Swansea,1921.39379883,1621.01647949,0.097,0.0
2017-11-29,Bournemouth,Burnley,1658.96252441,1682.78747559,0.002,0.0339999999999999
2017-11-29,Arsenal,Huddersfield,1848.10131836,1531.30664062,0.1019999999999999,0.0
2017-12-02,Watford,Tottenham,1662.33056641,1918.50769043,0.009,0.129
2017-12-02,Stoke,Swansea,1662.20178223,1619.51867676,0.0,0.0
2017-12-02,Leicester,Burnley,1715.7479248,1682.78747559,0.01,0.054
2017-12-02,West Brom,Crystal Palace,1635.23791504,1611.83325195,0.0,0.0
2017-12-02,Chelsea,Newcastle,1921.41589355,1620.79821777,0.0919999999999999,0.0
2017-12-02,Brighton,Liverpool,1625.31933594,1858.86633301,0.003,0.165
2017-12-02,Arsenal,Man United,1853.65710449,1903.2166748,0.142,0.135
2017-12-02,Everton,Huddersfield,1656.33642578,1530.02258301,0.001,0.0
2017-12-03,Bournemouth,Southampton,1649.93823242,1677.63366699,0.001,0.002
2017-12-03,Man City,West Ham,1967.49658203,1620.77685547,0.079,0.0
2017-12-09,West Ham,Chelsea,1622.88793945,1921.94335938,0.0,0.0989999999999999
2017-12-09,Burnley,Watford,1685.27697754,1666.49816895,0.038,0.011
2017-12-09,Crystal Palace,Bournemouth,1613.3939209,1648.22888184,0.0,0.001
2017-12-09,Huddersfield,Brighton,1521.42407227,1620.95739746,0.0,0.001
2017-12-09,Newcastle,Leicester,1621.87634277,1732.61474609,0.0,0.017
2017-12-09,Swansea,West Brom,1613.0255127,1630.12011719,0.0,0.0
2017-12-09,Tottenham,Stoke,1903.49536133,1659.35327148,0.1009999999999999,0.001
2017-12-10,Southampton,Arsenal,1677.91870117,1844.0168457,0.003,0.1539999999999999
2017-12-10,Man United,Man City,1920.68237305,1958.42578125,0.1129999999999999,0.137
2017-12-10,Liverpool,Everton,1879.93041992,1672.24841309,0.122,0.006
2017-12-12,Burnley,Stoke,1695.21289062,1659.24072266,0.066,0.003
2017-12-12,Crystal Palace,Watford,1617.27087402,1664.31591797,0.0,0.008
2017-12-12,Huddersfield,Chelsea,1525.30090332,1925.8203125,0.0,0.128
2017-12-13,Tottenham,Brighton,1907.37231445,1620.95739746,0.121,0.0
2017-12-13,Swansea,Man City,1623.84350586,1962.3026123,0.0,0.08
2017-12-13,Southampton,Leicester,1684.70617676,1743.18139648,0.001,0.026
2017-12-13,West Ham,Arsenal,1636.60253906,1849.77124023,0.0,0.129
2017-12-13,Man United,Bournemouth,1912.18713379,1652.87158203,0.0869999999999999,0.0
2017-12-13,Liverpool,West Brom,1883.80725098,1627.05578613,0.1389999999999999,0.0
2017-12-13,Newcastle,Everton,1615.18664551,1686.53588867,0.0,0.004
2017-12-16,Arsenal,Newcastle,1846.86071777,1615.18664551,0.0919999999999999,0.0
2017-12-16,Brighton,Burnley,1608.07873535,1695.21289062,0.0,0.071
2017-12-16,Chelsea,Southampton,1912.10571289,1684.70617676,0.1079999999999999,0.001
2017-12-16,Leicester,Crystal Palace,1757.47668457,1616.50500488,0.029,0.0
2017-12-16,Man City,Tottenham,1970.79797363,1911.36169434,0.0499999999999999,0.149
2017-12-16,Stoke,West Ham,1659.24072266,1636.60253906,0.0,0.0
2017-12-16,Watford,Huddersfield,1664.31591797,1538.1796875,0.0,0.0
