Date,HomeTeam,AwayTeam,HomeElo,AwayElo,HI,AI
2022-08-05,Crystal Palace,Arsenal,1756.96044922,1854.51696777,0.063,0.13899999999999996
2022-08-06,Fulham,Liverpool,1636.00439453,2048.15380859,0.028999999999999998,0.118
2022-08-06,Bournemouth,Aston Villa,1630.36547852,1743.63476562,0.019999999999999997,0.06500000000000002
2022-08-06,Leeds,Wolves,1703.2824707,1728.17773438,0.026999999999999996,0.031999999999999994
2022-08-06,Newcastle,Nott'm Forest,1756.95495605,1612.11743164,0.08399999999999996,0.015000000000000001
2022-08-06,Tottenham,Southampton,1869.6809082,1674.72241211,0.09599999999999997,0.018000000000000002
2022-08-06,Everton,Chelsea,1698.97583008,1902.10070801,0.023,0.099
2022-08-07,Leicester,Brentford,1782.39611816,1714.30810547,0.05499999999999999,0.06000000000000001
2022-08-07,Man United,Brighton,1813.75524902,1760.09667969,0.10100000000000003,0.095
2022-08-07,West Ham,Man City,1785.98718262,2028.19299316,0.055999999999999994,0.10699999999999998
2022-08-13,Brentford,Man United,1714.30810547,1810.69580078,0.048,0.08200000000000002
2022-08-13,Wolves,Fulham,1717.73461914,1643.68127441,0.015999999999999993,0.022
2022-08-13,Southampton,Leeds,1666.89074707,1710.66625977,0.008,0.030999999999999993
2022-08-13,Arsenal,Leicester,1861.01391602,1776.17578125,0.10999999999999999,0.047
2022-08-13,Brighton,Newcastle,1770.77905273,1762.18933105,0.08500000000000002,0.10500000000000001
2022-08-13,Aston Villa,Everton,1726.95800781,1694.67810059,0.03,0.018
2022-08-13,Man City,Bournemouth,2025.13366699,1643.98291016,0.08699999999999997,0.026
2022-08-14,Nott'm Forest,West Ham,1606.88305664,1777.94995117,0.006999999999999999,0.032999999999999995
2022-08-14,Chelsea,Tottenham,1899.04138184,1871.39379883,0.10899999999999999,0.14
2022-08-15,Liverpool,Crystal Palace,2027.35693359,1744.34484863,0.09899999999999998,0.041999999999999996
2022-08-20,Leicester,Southampton,1769.50463867,1666.76867676,0.026999999999999996,0.01
2022-08-20,Bournemouth,Arsenal,1642.09692383,1867.68505859,0.018,0.127
2022-08-20,Fulham,Brentford,1647.32495117,1735.64953613,0.023,0.067
2022-08-20,Everton,Nott'm Forest,1688.76049805,1618.4239502,0.010000000000000002,0.014
2022-08-20,Crystal Palace,Aston Villa,1751.81921387,1732.87561035,0.031,0.05700000000000001
2022-08-20,Tottenham,Wolves,1873.75769043,1714.62683105,0.10399999999999998,0.020999999999999998
2022-08-21,Leeds,Chelsea,1710.78833008,1900.9753418,0.038000000000000006,0.12
2022-08-21,West Ham,Brighton,1767.79309082,1769.43200684,0.028000000000000004,0.11499999999999996
2022-08-21,Newcastle,Man City,1764.0723877,2031.99768066,0.10300000000000001,0.13599999999999995
2022-08-22,Man United,Liverpool,1782.36901855,2019.88244629,0.07699999999999999,0.12999999999999995
2022-08-27,Arsenal,Fulham,1874.85083008,1656.23876953,0.10199999999999998,0.034
2022-08-27,Man City,Crystal Palace,2026.76623535,1760.7857666,0.09299999999999997,0.053000000000000005
2022-08-27,Chelsea,Leicester,1881.6237793,1757.95556641,0.094,0.030999999999999996
2022-08-27,Liverpool,Bournemouth,2007.59814453,1635.46716309,0.10400000000000004,0.019000000000000003
2022-08-27,Brentford,Everton,1727.20202637,1686.04040527,0.041999999999999996,0.016
2022-08-27,Southampton,Man United,1678.8536377,1794.92126465,0.013,0.087
2022-08-27,Brighton,Leeds,1782.91552734,1731.14233398,0.07900000000000001,0.05399999999999999
2022-08-28,Aston Villa,West Ham,1724.44506836,1754.30944824,0.039999999999999994,0.017
2022-08-28,Wolves,Newcastle,1711.32629395,1769.57189941,0.016000000000000004,0.09699999999999998
2022-08-28,Nott'm Forest,Tottenham,1622.34484863,1877.32629395,0.009,0.135
2022-08-30,Crystal Palace,Brentford,1758.66796875,1727.20202637,0.037,0.061
2022-08-30,Fulham,Brighton,1656.7052002,1783.38195801,0.03,0.133
2022-08-30,Southampton,Chelsea,1679.32019043,1885.85290527,0.007,0.11399999999999996
2022-08-30,Leeds,Everton,1725.78894043,1688.76733398,0.032,0.009999999999999998
2022-08-31,Liverpool,Newcastle,2008.0645752,1770.03833008,0.10700000000000004,0.12
2022-08-31,West Ham,Tottenham,1764.90380859,1882.70849609,0.036000000000000004,0.11299999999999999
2022-08-31,Man City,Nott'm Forest,2027.23266602,1622.34484863,0.08800000000000002,0.002
2022-08-31,Bournemouth,Wolves,1632.94958496,1711.79272461,0.011000000000000001,0.010000000000000002
2022-08-31,Arsenal,Aston Villa,1877.65856934,1724.91149902,0.08699999999999997,0.03799999999999999
2022-09-01,Leicester,Man United,1754.65942383,1795.38769531,0.019,0.119
2022-09-03,Everton,Liverpool,1691.30834961,2011.04870605,0.008,0.11299999999999993
2022-09-03,Brentford,Leeds,1726.93969727,1723.24804688,0.032,0.027000000000000003
2022-09-03,Chelsea,West Ham,1873.86962891,1764.90380859,0.08500000000000002,0.027000000000000003
2022-09-03,Newcastle,Crystal Palace,1769.92321777,1758.66796875,0.07700000000000001,0.034
2022-09-03,Nott'm Forest,Bournemouth,1615.50952148,1632.94958496,0.003,0.012
2022-09-03,Tottenham,Fulham,1882.70849609,1664.69128418,0.10299999999999998,0.03799999999999999
2022-09-03,Wolves,Southampton,1711.23535156,1684.9432373,0.01,0.01
2022-09-03,Aston Villa,Man City,1713.07983398,2029.8170166,0.023,0.11599999999999999
2022-09-04,Man United,Arsenal,1810.02685547,1880.83691406,0.12,0.122
2022-09-04,Brighton,Leicester,1788.73535156,1746.38049316,0.08199999999999999,0.012
2022-09-16,Aston Villa,Southampton,1708.04638672,1667.58239746,0.016,0.012
2022-09-16,Nott'm Forest,Fulham,1594.92626953,1650.91772461,0.001,0.029
2022-09-17,Wolves,Man City,1705.76489258,2023.85644531,0.013000000000000001,0.127
2022-09-17,Newcastle,Bournemouth,1754.46984863,1633.45080566,0.06499999999999999,0.015
2022-09-17,Tottenham,Leicester,1863.81787109,1724.97631836,0.09800000000000003,0.005
2022-09-18,Brentford,Arsenal,1728.76379395,1859.5369873,0.053000000000000005,0.10699999999999998
2022-09-18,Everton,West Ham,1686.32897949,1757.90917969,0.002,0.017
2022-10-01,West Ham,Wolves,1749.47143555,1707.84179688,0.008,0.011
2022-10-01,Southampton,Everton,1664.10778809,1696.84350586,0.004,0.01
2022-10-01,Liverpool,Brighton,1980.05981445,1779.05773926,0.118,0.13999999999999999
2022-10-01,Fulham,Newcastle,1661.09631348,1751.85388184,0.043000000000000003,0.074
2022-10-01,Crystal Palace,Chelsea,1748.79431152,1850.75427246,0.026999999999999996,0.08699999999999997
2022-10-01,Bournemouth,Brentford,1638.14367676,1728.76379395,0.01,0.03899999999999999
2022-10-01,Arsenal,Tottenham,1861.6138916,1865.89465332,0.121,0.14200000000000002
2022-10-02,Man City,Man United,2025.93322754,1805.43835449,0.10399999999999998,0.14199999999999996
2022-10-02,Leeds,Aston Villa,1702.74633789,1715.67456055,0.017,0.022
2022-10-03,Leicester,Nott'm Forest,1720.06323242,1597.00317383,0.004,0.002
2022-10-08,Bournemouth,Leicester,1642.69689941,1731.34265137,0.013000000000000001,0.005
2022-10-08,Chelsea,Wolves,1873.75292969,1701.96850586,0.08099999999999996,0.006999999999999999
2022-10-08,Man City,Southampton,2039.1940918,1659.2598877,0.10100000000000003,0.006
2022-10-08,Newcastle,Brentford,1767.8359375,1721.58459473,0.07100000000000001,0.032
2022-10-08,Brighton,Tottenham,1789.08605957,1865.78308105,0.11100000000000002,0.15200000000000002
2022-10-09,Everton,Man United,1709.20812988,1805.20080566,0.012999999999999998,0.09999999999999998
2022-10-09,Arsenal,Liverpool,1889.96972656,1981.81689453,0.11199999999999999,0.13899999999999996
2022-10-09,Crystal Palace,Leeds,1748.52722168,1708.19445801,0.013999999999999999,0.013999999999999999
2022-10-09,West Ham,Fulham,1761.23754883,1652.6307373,0.014000000000000002,0.019
2022-10-10,Nott'm Forest,Aston Villa,1585.13842773,1723.28088379,0.001,0.023
2022-10-14,Brentford,Brighton,1717.5769043,1788.79296875,0.011,0.097
2022-10-15,Leicester,Crystal Palace,1729.51989746,1758.45800781,0.004,0.022999999999999996
2022-10-15,Fulham,Bournemouth,1654.07531738,1658.77697754,0.016,0.013
2022-10-15,Wolves,Nott'm Forest,1700.80822754,1594.51025391,0.002,0.001
2022-10-15,Tottenham,Everton,1883.66210938,1709.41845703,0.10599999999999998,0.009
2022-10-16,Liverpool,Man City,1986.94641113,2039.82507324,0.11499999999999999,0.134
2022-10-16,Man United,Newcastle,1821.25708008,1787.82141113,0.118,0.09599999999999997
2022-10-16,Southampton,West Ham,1664.54333496,1782.73950195,0.002,0.012
2022-10-16,Aston Villa,Chelsea,1727.11779785,1898.64160156,0.015,0.10800000000000004
2022-10-16,Leeds,Arsenal,1708.70349121,1903.3482666,0.006999999999999999,0.08999999999999997
2022-10-18,Brighton,Nott'm Forest,1790.51330566,1596.23059082,0.06300000000000001,0.0
2022-10-18,Crystal Palace,Wolves,1761.02539062,1706.79284668,0.019,0.001
2022-10-19,Bournemouth,Southampton,1662.03173828,1667.94873047,0.005,0.001
2022-10-19,Brentford,Chelsea,1731.22937012,1900.36206055,0.042,0.126
2022-10-19,Liverpool,West Ham,1988.66687012,1782.73950195,0.10799999999999998,0.015
2022-10-19,Newcastle,Everton,1787.82141113,1706.96386719,0.064,0.004
2022-10-19,Man United,Tottenham,1823.83825684,1885.38256836,0.124,0.139
2022-10-20,Fulham,Aston Villa,1654.26123047,1727.11779785,0.009000000000000001,0.009000000000000001
2022-10-20,Leicester,Leeds,1730.39331055,1704.23022461,0.0,0.001
2022-10-22,Chelsea,Man United,1904.23266602,1833.00683594,0.14700000000000002,0.17100000000000004
2022-10-22,Man City,Brighton,2033.72094727,1772.54772949,0.10299999999999998,0.082
2022-10-22,Everton,Crystal Palace,1702.21862793,1766.48620605,0.0,0.021
2022-10-22,Nott'm Forest,Liverpool,1598.0,1998.92407227,0.0,0.132
2022-10-23,Wolves,Leicester,1702.20446777,1739.37988281,0.0,0.002
2022-10-23,Aston Villa,Brentford,1706.42468262,1735.50134277,0.003,0.027999999999999997
2022-10-23,Leeds,Fulham,1704.23022461,1669.42944336,0.001,0.015999999999999997
2022-10-23,Southampton,Arsenal,1678.02770996,1911.99816895,0.001,0.10599999999999998
2022-10-23,Tottenham,Newcastle,1878.63647461,1796.06408691,0.14199999999999996,0.124
2022-10-24,West Ham,Bournemouth,1778.6217041,1653.69787598,0.008,0.007
2022-10-29,Newcastle,Aston Villa,1809.4798584,1722.60290527,0.10399999999999998,0.013
2022-10-29,Fulham,Everton,1681.21618652,1719.18249512,0.024999999999999998,0.001
2022-10-29,Liverpool,Leeds,1995.39453125,1688.60522461,0.122,0.002
2022-10-29,Crystal Palace,Southampton,1754.6706543,1684.47021484,0.014,0.001
2022-10-29,Leicester,Man City,1758.46118164,2034.22277832,0.005,0.14200000000000002
2022-10-29,Brentford,Wolves,1722.72644043,1686.52648926,0.011,0.005
2022-10-29,Bournemouth,Tottenham,1650.04541016,1863.84399414,0.004,0.15199999999999997
2022-10-29,Brighton,Chelsea,1772.43847656,1908.95471191,0.05399999999999999,0.131
2022-10-30,Arsenal,Nott'm Forest,1893.13061523,1612.41186523,0.09499999999999997,0.001
2022-10-30,Man United,West Ham,1837.2076416,1784.22155762,0.133,0.015
2022-11-05,Leeds,Bournemouth,1705.453125,1646.96044922,0.004,0.003
2022-11-05,Man City,Fulham,2040.53149414,1681.78747559,0.09700000000000003,0.020999999999999998
2022-11-05,Nott'm Forest,Brentford,1613.59521484,1721.2310791,0.0,0.013
2022-11-05,Wolves,Brighton,1690.43676758,1791.34094238,0.003,0.071
2022-11-05,Everton,Leicester,1721.02612305,1756.61474609,0.001,0.005
2022-11-06,West Ham,Crystal Palace,1783.92224121,1764.11376953,0.009000000000000001,0.023
2022-11-06,Chelsea,Arsenal,1897.93908691,1901.88000488,0.101,0.10099999999999998
2022-11-06,Aston Villa,Man United,1718.14282227,1847.43969727,0.003,0.13099999999999995
2022-11-06,Southampton,Newcastle,1684.15441895,1823.06726074,0.001,0.14500000000000002
2022-11-06,Tottenham,Liverpool,1875.18994141,1987.5402832,0.15999999999999998,0.132
2022-11-12,Wolves,Arsenal,1686.64331055,1905.82983398,0.0,0.127
2022-11-12,Newcastle,Chelsea,1833.10192871,1897.93908691,0.13600000000000007,0.095
2022-11-12,Tottenham,Leeds,1878.54614258,1713.96557617,0.121,0.005
2022-11-12,West Ham,Leicester,1780.41711426,1772.12487793,0.006,0.005
2022-11-12,Liverpool,Southampton,1990.89648438,1674.11987305,0.11999999999999997,0.0
2022-11-12,Man City,Brentford,2043.88769531,1723.15454102,0.10100000000000003,0.011
2022-11-12,Nott'm Forest,Crystal Palace,1618.3840332,1774.21716309,0.0,0.033999999999999996
